location,scenario,current_treatment,next_treatment,value
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.551724137931034
China,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.604
France,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.68
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.608695652173913
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.604
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.576923076923077
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.448275862068966
China,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.396
France,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.32
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.391304347826087
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.396
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.423076923076923
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
China,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
France,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
China,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
France,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Italy,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Russian Federation,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Spain,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
China,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
France,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Italy,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Spain,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,none,0
China,baseline,high_potency_statin_high_dose,none,0
France,baseline,high_potency_statin_high_dose,none,0
Italy,baseline,high_potency_statin_high_dose,none,0
Russian Federation,baseline,high_potency_statin_high_dose,none,0
Spain,baseline,high_potency_statin_high_dose,none,0
Brazil,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
China,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
France,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Italy,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Spain,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Brazil,baseline,high_potency_statin_high_dose_fdc,fibrates,0
China,baseline,high_potency_statin_high_dose_fdc,fibrates,0
France,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Italy,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Spain,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
China,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
France,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
Italy,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
Spain,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
China,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
France,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
Italy,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
