location,scenario,current_treatment,next_treatment,value
China,baseline,low_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.396
France,baseline,low_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.32
Italy,baseline,low_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.391304347826087
Russian Federation,baseline,low_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.396
Spain,baseline,low_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0.423076923076923
Brazil,baseline,low_potency_statin_high_dose_fdc,lifestyle_intervention,0
China,baseline,low_potency_statin_high_dose_fdc,lifestyle_intervention,0
France,baseline,low_potency_statin_high_dose_fdc,lifestyle_intervention,0
Italy,baseline,low_potency_statin_high_dose_fdc,lifestyle_intervention,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,lifestyle_intervention,0
Spain,baseline,low_potency_statin_high_dose_fdc,lifestyle_intervention,0
Brazil,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
China,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
France,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Italy,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Spain,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Brazil,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
China,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
France,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Italy,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Spain,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Brazil,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
China,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
France,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Italy,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Spain,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Brazil,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
China,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
France,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Italy,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Spain,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Brazil,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
China,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
France,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Italy,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Spain,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Brazil,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
China,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
France,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Italy,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Spain,baseline,low_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Brazil,baseline,low_potency_statin_high_dose_fdc,none,0
China,baseline,low_potency_statin_high_dose_fdc,none,0
France,baseline,low_potency_statin_high_dose_fdc,none,0
Italy,baseline,low_potency_statin_high_dose_fdc,none,0
Russian Federation,baseline,low_potency_statin_high_dose_fdc,none,0
Spain,baseline,low_potency_statin_high_dose_fdc,none,0
Brazil,baseline,low_potency_statin_high_dose_multi,ezetimibe,0
China,baseline,low_potency_statin_high_dose_multi,ezetimibe,0
France,baseline,low_potency_statin_high_dose_multi,ezetimibe,0
Italy,baseline,low_potency_statin_high_dose_multi,ezetimibe,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,ezetimibe,0
Spain,baseline,low_potency_statin_high_dose_multi,ezetimibe,0
Brazil,baseline,low_potency_statin_high_dose_multi,fibrates,0
China,baseline,low_potency_statin_high_dose_multi,fibrates,0
France,baseline,low_potency_statin_high_dose_multi,fibrates,0
Italy,baseline,low_potency_statin_high_dose_multi,fibrates,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,fibrates,0
Spain,baseline,low_potency_statin_high_dose_multi,fibrates,0
Brazil,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
China,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
France,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
Italy,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
Spain,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
Brazil,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
China,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
France,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
Italy,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
Spain,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
Brazil,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,0
China,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,0
France,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,0
Italy,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,0
Spain,baseline,low_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,0
Brazil,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
China,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
France,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
Italy,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
Spain,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
Brazil,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0.551724137931034
China,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0.604
France,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0.68
Italy,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0.608695652173913
Russian Federation,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0.604
Spain,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0.576923076923077
Brazil,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0.448275862068966
China,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0.396
France,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0.32
Italy,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0.391304347826087
Russian Federation,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0.396
Spain,baseline,low_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0.423076923076923
Brazil,baseline,low_potency_statin_high_dose_multi,lifestyle_intervention,0
China,baseline,low_potency_statin_high_dose_multi,lifestyle_intervention,0
France,baseline,low_potency_statin_high_dose_multi,lifestyle_intervention,0
Italy,baseline,low_potency_statin_high_dose_multi,lifestyle_intervention,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,lifestyle_intervention,0
Spain,baseline,low_potency_statin_high_dose_multi,lifestyle_intervention,0
Brazil,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose,0
China,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose,0
France,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose,0
Italy,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose,0
Spain,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose,0
Brazil,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_fdc,0
China,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_fdc,0
France,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_fdc,0
Italy,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_fdc,0
Spain,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_fdc,0
Brazil,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_multi,0
China,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_multi,0
France,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_multi,0
Italy,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_multi,0
Spain,baseline,low_potency_statin_high_dose_multi,low_potency_statin_high_dose_multi,0
Brazil,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose,0
China,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose,0
France,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose,0
Italy,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose,0
Spain,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose,0
Brazil,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_fdc,0
China,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_fdc,0
France,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_fdc,0
Italy,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_fdc,0
Spain,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_fdc,0
Brazil,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_multi,0
China,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_multi,0
France,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_multi,0
Italy,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_multi,0
Spain,baseline,low_potency_statin_high_dose_multi,low_potency_statin_low_dose_multi,0
Brazil,baseline,low_potency_statin_high_dose_multi,none,0
China,baseline,low_potency_statin_high_dose_multi,none,0
France,baseline,low_potency_statin_high_dose_multi,none,0
Italy,baseline,low_potency_statin_high_dose_multi,none,0
Russian Federation,baseline,low_potency_statin_high_dose_multi,none,0
Spain,baseline,low_potency_statin_high_dose_multi,none,0
Brazil,baseline,low_potency_statin_low_dose,ezetimibe,0
China,baseline,low_potency_statin_low_dose,ezetimibe,0
France,baseline,low_potency_statin_low_dose,ezetimibe,0
Italy,baseline,low_potency_statin_low_dose,ezetimibe,0
Russian Federation,baseline,low_potency_statin_low_dose,ezetimibe,0
Spain,baseline,low_potency_statin_low_dose,ezetimibe,0
Brazil,baseline,low_potency_statin_low_dose,fibrates,0
China,baseline,low_potency_statin_low_dose,fibrates,0
France,baseline,low_potency_statin_low_dose,fibrates,0
Italy,baseline,low_potency_statin_low_dose,fibrates,0
Russian Federation,baseline,low_potency_statin_low_dose,fibrates,0
Spain,baseline,low_potency_statin_low_dose,fibrates,0
Brazil,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose,0
China,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose,0
France,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose,0
Italy,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose,0
Russian Federation,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose,0
Spain,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose,0
Brazil,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_fdc,0
China,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_fdc,0
France,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_fdc,0
Italy,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_fdc,0
Spain,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_fdc,0
Brazil,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_multi,0
China,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_multi,0
France,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_multi,0
Italy,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_multi,0
Spain,baseline,low_potency_statin_low_dose,high_potency_statin_high_dose_multi,0
Brazil,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose,0.194444444444444
China,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose,0.194444444444444
France,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose,0.194444444444444
Italy,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose,0.194444444444444
Russian Federation,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose,0.194444444444444
Spain,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose,0.194444444444444
Brazil,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_fdc,0
China,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_fdc,0
France,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_fdc,0
Italy,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_fdc,0
Russian Federation,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_fdc,0
Spain,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_fdc,0
Brazil,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_multi,0
China,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_multi,0
France,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_multi,0
Italy,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_multi,0
Russian Federation,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_multi,0
Spain,baseline,low_potency_statin_low_dose,high_potency_statin_low_dose_multi,0
Brazil,baseline,low_potency_statin_low_dose,lifestyle_intervention,0
China,baseline,low_potency_statin_low_dose,lifestyle_intervention,0
France,baseline,low_potency_statin_low_dose,lifestyle_intervention,0
Italy,baseline,low_potency_statin_low_dose,lifestyle_intervention,0
Russian Federation,baseline,low_potency_statin_low_dose,lifestyle_intervention,0
Spain,baseline,low_potency_statin_low_dose,lifestyle_intervention,0
Brazil,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose,0.421717171717172
China,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose,0.421717171717172
France,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose,0.421717171717172
Italy,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose,0.421717171717172
Russian Federation,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose,0.421717171717172
Spain,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose,0.421717171717172
Brazil,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_fdc,0
China,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_fdc,0
France,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_fdc,0
Italy,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_fdc,0
Russian Federation,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_fdc,0
Spain,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_fdc,0
Brazil,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_multi,0
China,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_multi,0
France,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_multi,0
Italy,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_multi,0
Russian Federation,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_multi,0
Spain,baseline,low_potency_statin_low_dose,low_potency_statin_high_dose_multi,0
Brazil,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose,0
China,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose,0
France,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose,0
Italy,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose,0
Russian Federation,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose,0
Spain,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose,0
Brazil,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_fdc,0.211772901428074
China,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_fdc,0.231838383838384
France,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_fdc,0.261010101010101
Italy,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_fdc,0.233640755379886
Russian Federation,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_fdc,0.231838383838384
Spain,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_fdc,0.221445221445221
Brazil,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_multi,0.17206548241031
China,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_multi,0.152
France,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_multi,0.122828282828283
Italy,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_multi,0.150197628458498
Russian Federation,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_multi,0.152
Spain,baseline,low_potency_statin_low_dose,low_potency_statin_low_dose_multi,0.162393162393162
Brazil,baseline,low_potency_statin_low_dose,none,0
China,baseline,low_potency_statin_low_dose,none,0
France,baseline,low_potency_statin_low_dose,none,0
Italy,baseline,low_potency_statin_low_dose,none,0
Russian Federation,baseline,low_potency_statin_low_dose,none,0
Spain,baseline,low_potency_statin_low_dose,none,0
Brazil,baseline,low_potency_statin_low_dose_fdc,ezetimibe,0
China,baseline,low_potency_statin_low_dose_fdc,ezetimibe,0
France,baseline,low_potency_statin_low_dose_fdc,ezetimibe,0
Italy,baseline,low_potency_statin_low_dose_fdc,ezetimibe,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,ezetimibe,0
Spain,baseline,low_potency_statin_low_dose_fdc,ezetimibe,0
Brazil,baseline,low_potency_statin_low_dose_fdc,fibrates,0
China,baseline,low_potency_statin_low_dose_fdc,fibrates,0
France,baseline,low_potency_statin_low_dose_fdc,fibrates,0
Italy,baseline,low_potency_statin_low_dose_fdc,fibrates,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,fibrates,0
Spain,baseline,low_potency_statin_low_dose_fdc,fibrates,0
Brazil,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose,0
China,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose,0
France,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose,0
Italy,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose,0
Spain,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose,0
Brazil,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_fdc,0
China,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_fdc,0
France,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_fdc,0
Italy,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_fdc,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_fdc,0
Spain,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_fdc,0
Brazil,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_multi,0
China,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_multi,0
France,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_multi,0
Italy,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_multi,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_multi,0
Spain,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_high_dose_multi,0
Brazil,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose,0
China,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose,0
France,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose,0
Italy,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose,0
Spain,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose,0
Brazil,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_fdc,0.174109666478236
China,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_fdc,0.190606557377049
France,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_fdc,0.214590163934426
Italy,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_fdc,0.192088382038489
Russian Federation,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_fdc,0.190606557377049
Spain,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_fdc,0.182061790668348
Brazil,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_multi,0.141464104013567
China,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_multi,0.124967213114754
France,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_multi,0.100983606557377
Italy,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_multi,0.123485388453314
Russian Federation,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_multi,0.124967213114754
Spain,baseline,low_potency_statin_low_dose_fdc,high_potency_statin_low_dose_multi,0.133511979823455
Brazil,baseline,low_potency_statin_low_dose_fdc,lifestyle_intervention,0
China,baseline,low_potency_statin_low_dose_fdc,lifestyle_intervention,0
France,baseline,low_potency_statin_low_dose_fdc,lifestyle_intervention,0
Italy,baseline,low_potency_statin_low_dose_fdc,lifestyle_intervention,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,lifestyle_intervention,0
Spain,baseline,low_potency_statin_low_dose_fdc,lifestyle_intervention,0
Brazil,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose,0
China,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose,0
France,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose,0
Italy,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose,0
Spain,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose,0
Brazil,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_fdc,0.377614471452798
China,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_fdc,0.413393442622951
France,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_fdc,0.465409836065574
Italy,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_fdc,0.416607270135424
Russian Federation,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_fdc,0.413393442622951
Spain,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_fdc,0.394861286254729
Brazil,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_multi,0.306811758055399
China,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_multi,0.271032786885246
France,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_multi,0.219016393442623
Italy,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_multi,0.267818959372773
Russian Federation,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_multi,0.271032786885246
Spain,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_high_dose_multi,0.289564943253468
Brazil,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose,0
China,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose,0
France,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose,0
Italy,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose,0
Spain,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose,0
Brazil,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_fdc,0
China,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_fdc,0
France,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_fdc,0
Italy,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_fdc,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_fdc,0
Spain,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_fdc,0
Brazil,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_multi,0
China,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_multi,0
France,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_multi,0
Italy,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_multi,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_multi,0
Spain,baseline,low_potency_statin_low_dose_fdc,low_potency_statin_low_dose_multi,0
Brazil,baseline,low_potency_statin_low_dose_fdc,none,0
China,baseline,low_potency_statin_low_dose_fdc,none,0
France,baseline,low_potency_statin_low_dose_fdc,none,0
Italy,baseline,low_potency_statin_low_dose_fdc,none,0
Russian Federation,baseline,low_potency_statin_low_dose_fdc,none,0
Spain,baseline,low_potency_statin_low_dose_fdc,none,0
Brazil,baseline,low_potency_statin_low_dose_multi,ezetimibe,0
China,baseline,low_potency_statin_low_dose_multi,ezetimibe,0
France,baseline,low_potency_statin_low_dose_multi,ezetimibe,0
Italy,baseline,low_potency_statin_low_dose_multi,ezetimibe,0
Russian Federation,baseline,low_potency_statin_low_dose_multi,ezetimibe,0
Spain,baseline,low_potency_statin_low_dose_multi,ezetimibe,0
Brazil,baseline,low_potency_statin_low_dose_multi,fibrates,0
China,baseline,low_potency_statin_low_dose_multi,fibrates,0
France,baseline,low_potency_statin_low_dose_multi,fibrates,0
Italy,baseline,low_potency_statin_low_dose_multi,fibrates,0
Russian Federation,baseline,low_potency_statin_low_dose_multi,fibrates,0
Spain,baseline,low_potency_statin_low_dose_multi,fibrates,0
Brazil,baseline,low_potency_statin_low_dose_multi,high_potency_statin_high_dose,0
